<02:19:36.024>Start FDBS 
<02:19:36.325>FDBS; opened connection to oralv8a 
<02:19:37.569>Received FJDBC: INSERT INTO PASSENGER10K VALUES (1, 'Sanama', 'Juergen', 'GB') 
<02:19:38.780>Received FJDBC: INSERT INTO PASSENGER10K VALUES (38, 'Lamps', 'Martin', 'CHN') 
<02:19:38.780>Sending to oralv8a: INSERT INTO PASSENGER10K VALUES (38, 'Lamps', 'Martin', 'CHN') 
<02:19:38.812>Received FJDBC: INSERT INTO PASSENGER10K VALUES (39, 'Maiwald', 'Markus', 'CMR') 
<02:19:38.814>Sending to oralv8a: INSERT INTO PASSENGER10K VALUES (39, 'Maiwald', 'Markus', 'CMR') 
<02:19:38.831>Received FJDBC: INSERT INTO PASSENGER10K VALUES (40, 'Harasty', 'Stefan', 'D') 
<02:19:38.831>Sending to oralv8a: INSERT INTO PASSENGER10K VALUES (40, 'Harasty', 'Stefan', 'D') 
<02:19:38.862>Received FJDBC: INSERT INTO PASSENGER10K VALUES (41, 'Ruppel', 'Sinan', 'I') 
<02:19:38.862>Sending to oralv8a: INSERT INTO PASSENGER10K VALUES (41, 'Ruppel', 'Sinan', 'I') 
<02:19:38.893>Received FJDBC: INSERT INTO PASSENGER10K VALUES (42, 'Schmitt', 'null', 'TUN') 
<02:19:38.893>Sending to oralv8a: INSERT INTO PASSENGER10K VALUES (42, 'Schmitt', 'null', 'TUN') 
<02:19:38.925>Received FJDBC: INSERT INTO PASSENGER10K VALUES (43, 'Nguentcheng', 'Sarah', 'ID') 
<02:19:38.925>Sending to oralv8a: INSERT INTO PASSENGER10K VALUES (43, 'Nguentcheng', 'Sarah', 'ID') 
<02:19:38.956>Received FJDBC: INSERT INTO PASSENGER10K VALUES (44, 'Tobert', 'Hichem', 'CMR') 
<02:19:38.956>Sending to oralv8a: INSERT INTO PASSENGER10K VALUES (44, 'Tobert', 'Hichem', 'CMR') 
<02:19:38.995>Received FJDBC: INSERT INTO PASSENGER10K VALUES (45, 'Turner', 'Martin', 'USA') 
<02:19:38.996>Sending to oralv8a: INSERT INTO PASSENGER10K VALUES (45, 'Turner', 'Martin', 'USA') 
<02:19:39.023>Received FJDBC: INSERT INTO PASSENGER10K VALUES (46, 'Hohmeyer', 'Bastian', 'TUN') 
<02:19:39.024>Sending to oralv8a: INSERT INTO PASSENGER10K VALUES (46, 'Hohmeyer', 'Bastian', 'TUN') 
<02:19:39.037>Received FJDBC: INSERT INTO PASSENGER10K VALUES (47, 'Klomann', 'Rene', 'USA') 
<02:19:39.053>Sending to oralv8a: INSERT INTO PASSENGER10K VALUES (47, 'Klomann', 'Rene', 'USA') 
<02:19:39.068>Received FJDBC: INSERT INTO PASSENGER10K VALUES (48, 'Tobert', 'Sascha', 'D') 
<02:19:39.068>Sending to oralv8a: INSERT INTO PASSENGER10K VALUES (48, 'Tobert', 'Sascha', 'D') 
<02:19:39.100>Received FJDBC: INSERT INTO PASSENGER10K VALUES (49, 'Saseno', 'Bastian', 'I') 
<02:19:39.100>Sending to oralv8a: INSERT INTO PASSENGER10K VALUES (49, 'Saseno', 'Bastian', 'I') 
<02:19:39.131>Received FJDBC: INSERT INTO PASSENGER10K VALUES (50, 'Bailleu', 'Eberhard', 'I') 
<02:19:39.146>Sending to oralv8a: INSERT INTO PASSENGER10K VALUES (50, 'Bailleu', 'Eberhard', 'I') 
<02:19:39.177>Received FJDBC: INSERT INTO PASSENGER10K VALUES (51, 'Klomann', 'Eberhard', 'F') 
<02:19:39.177>Sending to oralv8a: INSERT INTO PASSENGER10K VALUES (51, 'Klomann', 'Eberhard', 'F') 
<02:19:39.208>Received FJDBC: INSERT INTO PASSENGER10K VALUES (52, 'Saseno', 'Mario', 'CMR') 
<02:19:39.208>Sending to oralv8a: INSERT INTO PASSENGER10K VALUES (52, 'Saseno', 'Mario', 'CMR') 
<02:19:39.239>Received FJDBC: INSERT INTO PASSENGER10K VALUES (53, 'Niedeggen', 'Markus', 'CHN') 
<02:19:39.239>Sending to oralv8a: INSERT INTO PASSENGER10K VALUES (53, 'Niedeggen', 'Markus', 'CHN') 
<02:19:39.270>Received FJDBC: INSERT INTO PASSENGER10K VALUES (54, 'Miosga', 'Nejib', 'D') 
<02:19:39.270>Sending to oralv8a: INSERT INTO PASSENGER10K VALUES (54, 'Miosga', 'Nejib', 'D') 
<02:19:39.302>Received FJDBC: INSERT INTO PASSENGER10K VALUES (55, 'Klomann', 'Franz', 'ID') 
<02:19:39.302>Sending to oralv8a: INSERT INTO PASSENGER10K VALUES (55, 'Klomann', 'Franz', 'ID') 
<02:19:39.333>Received FJDBC: INSERT INTO PASSENGER10K VALUES (56, 'Nannini', 'Anreas', 'D') 
<02:19:39.333>Sending to oralv8a: INSERT INTO PASSENGER10K VALUES (56, 'Nannini', 'Anreas', 'D') 
<02:19:39.364>Received FJDBC: INSERT INTO PASSENGER10K VALUES (57, 'Burhenne', 'Mario', 'TUN') 
<02:19:39.364>Sending to oralv8a: INSERT INTO PASSENGER10K VALUES (57, 'Burhenne', 'Mario', 'TUN') 
<02:19:39.395>Received FJDBC: INSERT INTO PASSENGER10K VALUES (58, 'Bayer', 'Daniel', 'F') 
<02:19:39.395>Sending to oralv8a: INSERT INTO PASSENGER10K VALUES (58, 'Bayer', 'Daniel', 'F') 
<02:19:39.427>Received FJDBC: INSERT INTO PASSENGER10K VALUES (59, 'Mahr', 'Donald', 'I') 
<02:19:39.427>Sending to oralv8a: INSERT INTO PASSENGER10K VALUES (59, 'Mahr', 'Donald', 'I') 
<02:19:39.458>Received FJDBC: INSERT INTO PASSENGER10K VALUES (60, 'Ruppel', 'Patricia', 'D') 
<02:19:39.458>Sending to oralv8a: INSERT INTO PASSENGER10K VALUES (60, 'Ruppel', 'Patricia', 'D') 
<02:19:39.489>Received FJDBC: INSERT INTO PASSENGER10K VALUES (61, 'Ramazotti', 'null', 'USA') 
<02:19:39.489>Sending to oralv8a: INSERT INTO PASSENGER10K VALUES (61, 'Ramazotti', 'null', 'USA') 
<02:19:39.520>Received FJDBC: INSERT INTO PASSENGER10K VALUES (62, 'Dehler', 'Simon', 'GB') 
<02:19:39.520>Sending to oralv8a: INSERT INTO PASSENGER10K VALUES (62, 'Dehler', 'Simon', 'GB') 
<02:19:39.552>Received FJDBC: INSERT INTO PASSENGER10K VALUES (63, 'Knabe', 'Sebastian', 'USA') 
<02:19:39.552>Sending to oralv8a: INSERT INTO PASSENGER10K VALUES (63, 'Knabe', 'Sebastian', 'USA') 
<02:19:39.583>Received FJDBC: INSERT INTO PASSENGER10K VALUES (64, 'Meuer', 'Elton', 'USA') 
<02:19:39.583>Sending to oralv8a: INSERT INTO PASSENGER10K VALUES (64, 'Meuer', 'Elton', 'USA') 
<02:19:39.614>Received FJDBC: INSERT INTO PASSENGER10K VALUES (65, 'Kouada', 'Annie', 'I') 
<02:19:39.614>Sending to oralv8a: INSERT INTO PASSENGER10K VALUES (65, 'Kouada', 'Annie', 'I') 
<02:19:39.645>Received FJDBC: INSERT INTO PASSENGER10K VALUES (66, 'Lied', 'Peter', 'D') 
<02:19:39.645>Sending to oralv8a: INSERT INTO PASSENGER10K VALUES (66, 'Lied', 'Peter', 'D') 
<02:19:39.677>Received FJDBC: INSERT INTO PASSENGER10K VALUES (67, 'Ksaier', 'Juergen', 'TUN') 
<02:19:39.677>Sending to oralv8a: INSERT INTO PASSENGER10K VALUES (67, 'Ksaier', 'Juergen', 'TUN') 
<02:19:39.712>Received FJDBC: INSERT INTO PASSENGER10K VALUES (68, 'Bostanci', 'Ilkem', 'TUN') 
<02:19:39.714>Sending to oralv8a: INSERT INTO PASSENGER10K VALUES (68, 'Bostanci', 'Ilkem', 'TUN') 
<02:19:39.740>Received FJDBC: INSERT INTO PASSENGER10K VALUES (69, 'Sprenger', 'Freddie', 'GB') 
<02:19:39.740>Sending to oralv8a: INSERT INTO PASSENGER10K VALUES (69, 'Sprenger', 'Freddie', 'GB') 
<02:19:39.771>Received FJDBC: INSERT INTO PASSENGER10K VALUES (70, 'Niedeggen', 'Pascal', 'USA') 
<02:19:39.771>Sending to oralv8a: INSERT INTO PASSENGER10K VALUES (70, 'Niedeggen', 'Pascal', 'USA') 
<02:19:39.802>Received FJDBC: INSERT INTO PASSENGER10K VALUES (71, 'Reinel', 'Peter', 'ID') 
<02:19:39.802>Sending to oralv8a: INSERT INTO PASSENGER10K VALUES (71, 'Reinel', 'Peter', 'ID') 
<02:19:39.834>Received FJDBC: INSERT INTO PASSENGER10K VALUES (72, 'Helmke', 'Donald', 'GB') 
<02:19:39.834>Sending to oralv8a: INSERT INTO PASSENGER10K VALUES (72, 'Helmke', 'Donald', 'GB') 
<02:19:39.865>Received FJDBC: INSERT INTO PASSENGER10K VALUES (73, 'Jagger', 'Donald', 'CHN') 
<02:19:39.865>Sending to oralv8a: INSERT INTO PASSENGER10K VALUES (73, 'Jagger', 'Donald', 'CHN') 
<02:19:39.896>Received FJDBC: INSERT INTO PASSENGER10K VALUES (74, 'Turner', 'Susi', 'CMR') 
<02:19:39.896>Sending to oralv8a: INSERT INTO PASSENGER10K VALUES (74, 'Turner', 'Susi', 'CMR') 
<02:19:39.927>Received FJDBC: INSERT INTO PASSENGER10K VALUES (75, 'Paulheim', 'Sinan', 'F') 
<02:19:39.927>Sending to oralv8a: INSERT INTO PASSENGER10K VALUES (75, 'Paulheim', 'Sinan', 'F') 
<02:19:39.959>Received FJDBC: INSERT INTO PASSENGER10K VALUES (76, 'Lamps', 'Simon', 'D') 
<02:19:39.959>Sending to oralv8a: INSERT INTO PASSENGER10K VALUES (76, 'Lamps', 'Simon', 'D') 
<02:19:39.990>Received FJDBC: INSERT INTO PASSENGER10K VALUES (77, 'John', 'Bob', 'CMR') 
<02:19:39.990>Sending to oralv8a: INSERT INTO PASSENGER10K VALUES (77, 'John', 'Bob', 'CMR') 
<02:19:40.021>Received FJDBC: INSERT INTO PASSENGER10K VALUES (78, 'Meatloaf', 'Florian', 'GB') 
<02:19:40.021>Sending to oralv8a: INSERT INTO PASSENGER10K VALUES (78, 'Meatloaf', 'Florian', 'GB') 
<02:19:40.052>Received FJDBC: INSERT INTO PASSENGER10K VALUES (79, 'Meuer', 'Florian', 'D') 
<02:19:40.052>Sending to oralv8a: INSERT INTO PASSENGER10K VALUES (79, 'Meuer', 'Florian', 'D') 
<02:19:40.084>Received FJDBC: INSERT INTO PASSENGER10K VALUES (80, 'Scholz', 'Patrik', 'I') 
<02:19:40.084>Sending to oralv8a: INSERT INTO PASSENGER10K VALUES (80, 'Scholz', 'Patrik', 'I') 
<02:19:40.115>Received FJDBC: INSERT INTO PASSENGER10K VALUES (81, 'Nannini', 'Nico', 'CHN') 
<02:19:40.115>Sending to oralv8a: INSERT INTO PASSENGER10K VALUES (81, 'Nannini', 'Nico', 'CHN') 
<02:19:40.149>Received FJDBC: INSERT INTO PASSENGER10K VALUES (82, 'Hennecke', 'Holger', 'CHN') 
<02:19:40.150>Sending to oralv8a: INSERT INTO PASSENGER10K VALUES (82, 'Hennecke', 'Holger', 'CHN') 
<02:19:40.179>Received FJDBC: INSERT INTO PASSENGER10K VALUES (83, 'Bush', 'Bob', 'USA') 
<02:19:40.181>Sending to oralv8a: INSERT INTO PASSENGER10K VALUES (83, 'Bush', 'Bob', 'USA') 
<02:19:40.212>Received FJDBC: INSERT INTO PASSENGER10K VALUES (84, 'Englert', 'Melanie', 'USA') 
<02:19:40.213>Sending to oralv8a: INSERT INTO PASSENGER10K VALUES (84, 'Englert', 'Melanie', 'USA') 
<02:19:40.240>Received FJDBC: INSERT INTO PASSENGER10K VALUES (85, 'Sting', 'Rudi', 'F') 
<02:19:40.241>Sending to oralv8a: INSERT INTO PASSENGER10K VALUES (85, 'Sting', 'Rudi', 'F') 
<02:19:40.270>Received FJDBC: INSERT INTO PASSENGER10K VALUES (86, 'Sting', 'Jan', 'GB') 
<02:19:40.271>Sending to oralv8a: INSERT INTO PASSENGER10K VALUES (86, 'Sting', 'Jan', 'GB') 
<02:19:40.297>Received FJDBC: INSERT INTO PASSENGER10K VALUES (87, 'Hahn', 'Annika', 'TUN') 
<02:19:40.297>Sending to oralv8a: INSERT INTO PASSENGER10K VALUES (87, 'Hahn', 'Annika', 'TUN') 
<02:19:40.329>Received FJDBC: INSERT INTO PASSENGER10K VALUES (88, 'Hohmeyer', 'Sebastian', 'I') 
<02:19:40.329>Sending to oralv8a: INSERT INTO PASSENGER10K VALUES (88, 'Hohmeyer', 'Sebastian', 'I') 
<02:19:40.360>Received FJDBC: INSERT INTO PASSENGER10K VALUES (89, 'Maiwald', 'Mick', 'I') 
<02:19:40.360>Sending to oralv8a: INSERT INTO PASSENGER10K VALUES (89, 'Maiwald', 'Mick', 'I') 
<02:19:40.391>Received FJDBC: INSERT INTO PASSENGER10K VALUES (90, 'Burhenne', 'Tao', 'GB') 
<02:19:40.391>Sending to oralv8a: INSERT INTO PASSENGER10K VALUES (90, 'Burhenne', 'Tao', 'GB') 
<02:19:40.422>Received FJDBC: INSERT INTO PASSENGER10K VALUES (91, 'Helmke', 'Daniel', 'I') 
<02:19:40.422>Sending to oralv8a: INSERT INTO PASSENGER10K VALUES (91, 'Helmke', 'Daniel', 'I') 
<02:19:40.454>Received FJDBC: INSERT INTO PASSENGER10K VALUES (92, 'Helmke', 'Jan', 'TUN') 
<02:19:40.454>Sending to oralv8a: INSERT INTO PASSENGER10K VALUES (92, 'Helmke', 'Jan', 'TUN') 
<02:19:40.485>Received FJDBC: INSERT INTO PASSENGER10K VALUES (93, 'Dehler', 'Franz', 'CMR') 
<02:19:40.485>Sending to oralv8a: INSERT INTO PASSENGER10K VALUES (93, 'Dehler', 'Franz', 'CMR') 
<02:19:40.501>Received FJDBC: INSERT INTO PASSENGER10K VALUES (94, 'Horn', 'Bjoern', 'ID') 
<02:19:40.516>Sending to oralv8a: INSERT INTO PASSENGER10K VALUES (94, 'Horn', 'Bjoern', 'ID') 
<02:19:40.547>Received FJDBC: INSERT INTO PASSENGER10K VALUES (95, 'Hennecke', 'Jan', 'CHN') 
<02:19:40.547>Sending to oralv8a: INSERT INTO PASSENGER10K VALUES (95, 'Hennecke', 'Jan', 'CHN') 
<02:19:40.579>Received FJDBC: INSERT INTO PASSENGER10K VALUES (96, 'Scholz', 'Christian', 'TUN') 
<02:19:40.579>Sending to oralv8a: INSERT INTO PASSENGER10K VALUES (96, 'Scholz', 'Christian', 'TUN') 
<02:19:40.594>Received FJDBC: INSERT INTO PASSENGER10K VALUES (97, 'Ruppel', 'Marcel', 'ID') 
<02:19:40.594>Sending to oralv8a: INSERT INTO PASSENGER10K VALUES (97, 'Ruppel', 'Marcel', 'ID') 
<02:19:40.626>Received FJDBC: INSERT INTO PASSENGER10K VALUES (98, 'Dehler', 'Marcel', 'CHN') 
<02:19:40.626>Sending to oralv8a: INSERT INTO PASSENGER10K VALUES (98, 'Dehler', 'Marcel', 'CHN') 
<02:19:40.657>Received FJDBC: INSERT INTO PASSENGER10K VALUES (99, 'Nannini', 'Elton', 'CHN') 
<02:19:40.657>Sending to oralv8a: INSERT INTO PASSENGER10K VALUES (99, 'Nannini', 'Elton', 'CHN') 
<02:19:40.688>Received FJDBC: INSERT INTO PASSENGER10K VALUES (100, 'Pei', 'Christian', 'CHN') 
<02:19:40.688>Sending to oralv8a: INSERT INTO PASSENGER10K VALUES (100, 'Pei', 'Christian', 'CHN') 
<02:19:40.719>Received FJDBC: INSERT INTO PASSENGER10K VALUES (101, 'Meatloaf', 'Bastian', 'F') 
<02:19:40.719>Sending to oralv8a: INSERT INTO PASSENGER10K VALUES (101, 'Meatloaf', 'Bastian', 'F') 
<02:19:40.751>Received FJDBC: INSERT INTO PASSENGER10K VALUES (102, 'Hohmeyer', 'null', 'ID') 
<02:19:40.751>Sending to oralv8a: INSERT INTO PASSENGER10K VALUES (102, 'Hohmeyer', 'null', 'ID') 
<02:19:40.782>Received FJDBC: INSERT INTO PASSENGER10K VALUES (103, 'Hahn', 'Kai', 'CHN') 
<02:19:40.782>Sending to oralv8a: INSERT INTO PASSENGER10K VALUES (103, 'Hahn', 'Kai', 'CHN') 
<02:19:40.813>Received FJDBC: INSERT INTO PASSENGER10K VALUES (104, 'Nguentcheng', 'Marcel', 'TUN') 
<02:19:40.813>Sending to oralv8a: INSERT INTO PASSENGER10K VALUES (104, 'Nguentcheng', 'Marcel', 'TUN') 
<02:19:40.844>Received FJDBC: INSERT INTO PASSENGER10K VALUES (105, 'Bostanci', 'Susi', 'F') 
<02:19:40.844>Sending to oralv8a: INSERT INTO PASSENGER10K VALUES (105, 'Bostanci', 'Susi', 'F') 
<02:19:40.876>Received FJDBC: INSERT INTO PASSENGER10K VALUES (106, 'Scholz', 'Pascal', 'USA') 
<02:19:40.876>Sending to oralv8a: INSERT INTO PASSENGER10K VALUES (106, 'Scholz', 'Pascal', 'USA') 
<02:19:40.907>Received FJDBC: INSERT INTO PASSENGER10K VALUES (107, 'Bush', 'Gaspard', 'D') 
<02:19:40.907>Sending to oralv8a: INSERT INTO PASSENGER10K VALUES (107, 'Bush', 'Gaspard', 'D') 
<02:19:40.923>Received FJDBC: INSERT INTO PASSENGER10K VALUES (108, 'Burhenne', 'Lukas', 'F') 
<02:19:40.923>Sending to oralv8a: INSERT INTO PASSENGER10K VALUES (108, 'Burhenne', 'Lukas', 'F') 
<02:19:40.954>Received FJDBC: INSERT INTO PASSENGER10K VALUES (109, 'Dehler', 'Benedikt', 'TUN') 
<02:19:40.954>Sending to oralv8a: INSERT INTO PASSENGER10K VALUES (109, 'Dehler', 'Benedikt', 'TUN') 
<02:19:40.997>Received FJDBC: INSERT INTO PASSENGER10K VALUES (110, 'Bush', 'Kate', 'USA') 
<02:19:40.998>Sending to oralv8a: INSERT INTO PASSENGER10K VALUES (110, 'Bush', 'Kate', 'USA') 
<02:19:41.032>Received FJDBC: INSERT INTO PASSENGER10K VALUES (111, 'Gabriel', 'Michael', 'ID') 
<02:19:41.033>Sending to oralv8a: INSERT INTO PASSENGER10K VALUES (111, 'Gabriel', 'Michael', 'ID') 
<02:19:41.052>Received FJDBC: INSERT INTO PASSENGER10K VALUES (112, 'Tobert', 'Eros', 'I') 
<02:19:41.052>Sending to oralv8a: INSERT INTO PASSENGER10K VALUES (112, 'Tobert', 'Eros', 'I') 
<02:19:41.084>Received FJDBC: INSERT INTO PASSENGER10K VALUES (113, 'Tobert', 'Christian', 'D') 
<02:19:41.084>Sending to oralv8a: INSERT INTO PASSENGER10K VALUES (113, 'Tobert', 'Christian', 'D') 
<02:19:41.115>Received FJDBC: INSERT INTO PASSENGER10K VALUES (114, 'Sprenger', 'Michael', 'CHN') 
